Listing last 20 Process Areas:
ID: 124 | Name: Area Teste | Company ID: 5 | Code: AA.C.1
ID: 123 | Name: Area Teste | Company ID: 5 | Code: AA.C.1
ID: 122 | Name: Area Teste | Company ID: 5 | Code: AA.C.1
ID: 17 | Name: Apoio | Company ID: 14 | Code: AB.C.3
ID: 16 | Name: Finalistico | Company ID: 14 | Code: AB.C.2
ID: 15 | Name: Gestão | Company ID: 14 | Code: AB.C.1
ID: 14 | Name: APOIO | Company ID: 13 | Code: AL.C.3
ID: 13 | Name: FINALÍSTICOS | Company ID: 13 | Code: AL.C.2
ID: 12 | Name: GESTÃO | Company ID: 13 | Code: AL.C.1
ID: 11 | Name: Apoio | Company ID: 5 | Code: AB.C.3
ID: 10 | Name: Finalistica | Company ID: 5 | Code: AB.C.2
ID: 9 | Name: Gestão | Company ID: 5 | Code: AB.C.1
ID: 8 | Name: Apoio | Company ID: 3 | Code: AA.C.3
ID: 7 | Name: Finalisticos | Company ID: 3 | Code: AA.C.2
ID: 5 | Name: Gestão | Company ID: 3 | Code: AA.C.1
ID: 4 | Name: TESTE 03 | Company ID: 1 | Code: AO.C.4
ID: 3 | Name: Apoio | Company ID: 1 | Code: AO.C.3
ID: 2 | Name: Finalistico | Company ID: 1 | Code: AO.C.2
ID: 1 | Name: Gestão | Company ID: 1 | Code: AO.C.1
